date,open,high,low,close,volume,amount,MACDh_6_13_5,rsi,cmf
202101,124500,140000,120500,122500,127672304,16645892658918,4370.080530236087,71.57244946769876,-0.023223636567297968
202102,121000,149500,118000,141500,101827542,13584840566904,5673.957204825587,76.7500859305895,-0.013366550699555488
202103,149000,150500,130500,132500,105431089,14580173098648,4246.769601960332,70.22539565851662,-0.08429579033743667
202104,138000,147000,126500,128000,75564371,10319925063620,2298.955597834476,67.1514843356968,-0.1420019377640485
202105,127500,132500,115500,127000,78811603,9736591606029,745.4560618963078,66.45534015856546,-0.13506588851821055
202106,127000,130000,120500,127500,66679747,8406223844285,-271.31935639526637,66.64155063886898,-0.13197844856725055
202107,127500,128000,112500,112500,60841470,7273199509890,-2382.4354522902977,56.507308276743714,-0.14321720693569165
202108,113500,123000,98900,106500,124144112,13183805614753,-3720.3535859134936,53.03323490771027,-0.19366028947903974
202109,106000,108500,99600,103000,56629974,5933672274949,-4244.634291091328,51.06114639075996,-0.17230638834639708
202110,102000,108500,90500,103000,60336491,5941597864330,-3963.704312541303,51.06114639075995,-0.12042001718472699
202111,103500,122500,102500,114000,80202082,9060052159505,-2296.5249452694934,56.90262880156265,-0.13266325420022687
202112,114500,133500,112000,131000,86416541,10605851509132,278.29311429207974,64.04537151367397,-0.1161620966831444
202201,132000,132500,111000,120500,89499463,11044063809348,197.87933670323446,57.68605914097251,-0.10360234959997768
202202,124500,134000,119500,123500,79096313,10095211099389,329.3012596729386,58.940507044427115,-0.10168146181161791
202203,124500,129500,112000,118000,81367791,9795157879935,-287.37997867798595,55.68135182929804,-0.08590344101827306
202204,117000,118000,106500,112500,67512954,7537954772545,-1109.0119737623227,52.55192712722885,-0.06778708567142819
202205,110000,115000,101500,108000,73777335,8064223280096,-1775.4159795238074,50.07229779602852,-0.10385029827709148
202206,106000,108500,89700,91000,63530319,6243433744379,-3440.5151999047953,42.008239003115364,-0.09936583706153589
202207,91000,104500,86300,97900,67743861,6524640796512,-2929.719184970124,45.82208624678028,-0.11597096969659602
202208,97200,98700,91800,95200,54087782,5137256651457,-2485.1487200668616,44.586426165075515,-0.16688614717305503
202209,93900,95200,80400,83100,52429300,4589909581670,-2998.5942841059377,39.451920918875985,-0.13043204852338153
202210,85200,96600,82400,82700,74636493,6746826007726,-2667.648863079934,39.290839091708136,-0.2139255926932578
202211,82700,95300,81400,85000,59674968,5207745191765,-1750.3972369759122,40.78790643912762,-0.18240955043221363
202212,87300,87300,74700,75000,51099671,4084945482189,-1884.9661593192413,36.56588840008904,-0.17444519859787458
202301,75100,92800,73100,88500,56640080,4844608436255,-164.0535535966228,44.86338730546748,-0.17428138544811625
202302,91200,95000,88500,89400,51149578,4696683315825,847.172037564982,45.37636486221583,-0.22552958257902214
202303,89400,90700,76700,88600,72192190,6155893996839,1237.0795773965901,44.9758032080514,-0.14427256973463087
202304,89700,92500,82700,89500,88455745,7731299044712,1457.4557182437056,45.55805456901318,-0.08938986117978297
202305,90900,113400,85000,108600,81538499,8046236873567,3287.6587528660752,56.16034053328761,-0.039393084604383385
202306,106000,121100,106000,115200,81733821,9303323976616,4253.369449559638,59.12273545932956,-0.04276155652510129
202307,115300,129000,109700,123400,76000908,8952089829082,4809.6405190505,62.51212300733309,-0.028785252294719375
202308,124000,126400,111800,121800,70548383,8393115765241,4112.987144537598,61.44160792526003,-0.05799667682992616
202309,121400,124400,112300,114700,55439849,6524199884296,2434.1676930484687,56.79375699904178,-0.07640870658418948
202310,113000,130800,113000,116300,80652964,9910331169104,1412.5900604680555,57.57265711538026,-0.08756286295226953
202311,117900,134400,117000,133900,64079434,8319673083885,2323.703683417809,65.038837783308,-0.024673514217346294
202312,132200,143700,124500,141500,62426762,8405567387227,2897.1197188650412,67.68345709144674,0.009007537553089709
202401,139700,145400,129000,134700,67136007,9191008509323,1832.136682862154,63.08528347129377,-0.0042707255756819626
202402,133100,166900,131700,156200,84966626,12632814876433,2935.360396351345,70.02025908539213,0.06089591186202106
202403,161000,183900,154100,183000,88413068,14857969902214,5215.778251109732,76.05813735474548,0.1069186034618816
202404,186400,191400,167000,174200,89661708,16095698254313,4158.444278075514,71.00155701643617,0.0786931005047777
202405,169000,210000,169000,189200,68531199,13045808927625,4114.285020388801,74.15562163745791,0.10046865606601789
202406,189500,243000,188200,236500,67231991,14833779604101,7510.789543701154,81.12668066709692,0.1875961024065179
202407,233500,248500,185200,194600,120093907,25682733362383,3182.7950448118827,64.52359551081895,0.1422667955336211
202408,201500,202500,151600,173700,132219760,23451481423297,-1664.1903244669666,58.13268923039166,0.15491596982520625
202409,173600,189300,144700,174600,107933702,17663694498321,-3865.8043201473592,58.32411904747703,0.1530061566123528
202410,172700,206000,169100,186300,86183779,16304418684261,-3562.0372753049887,60.83138698559126,0.16867711202972188
202411,182500,203000,157600,159900,81358618,14547049639015,-5863.3022376013505,53.07267415772661,0.0930120424212928
202412,162200,184500,158600,173900,70906903,12140170482126,-4940.391838131094,56.25878987524179,0.0809173956142484
202501,170500,227000,170000,199200,93226380,19014634991691,-1702.4857502632658,61.36391114980923,0.04899484416793115
202502,191500,219500,186900,190200,72357075,14536053314602,-1269.7982148891897,58.737646532348144,0.003177800174363705
202503,184800,219500,181300,190700,64484725,12856327045739,-1127.759183143984,58.84303206645585,-0.03651187168089714
